"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"Get Him to the Greek",2010,6.4,0.72,109
"Slow West",2015,6.9,0.92,84
"The Meyerowitz Stories (New and Selected)",2017,6.9,0.93,112
"The Battered Bastards of Baseball",2014,8,1,80
"The Perfection",2018,6.1,0.83,90
"Ip Man 3",2015,7.1,0.78,105
"Sinister",2012,6.8,0.64,110
"Rush: Beyond the Lighted Stage",2010,8.4,0.9,107
"20 Feet from Stardom",2013,7.4,0.99,91
"The Stanford Prison Experiment",2015,6.9,0.84,122
"My Week with Marilyn",2011,7,0.83,99
"Catfish",2010,7.1,0.8,87
"Secret Superstar",2017,7.9,0.9,150
"Private Life",2018,7.2,0.94,123
"Jarhead",2005,7,0.61,125
"Yes Man",2008,6.8,0.46,104
"For the Love of Spock",2016,7.6,1,111
"Goon",2012,6.8,0.81,92
"Ace Ventura: Pet Detective",1994,6.9,0.48,86
"Inequality for All",2013,8,0.9,89
"Olympus Has Fallen",2013,6.5,0.49,119
"Dave Chappelle: Sticks & Stones",2019,8.5,0.35,65
"John Mulaney: Kid Gorgeous at Radio City",2018,7.9,1,65
"La Bamba",1987,6.9,0.9,108
"Public Enemies",2009,7,0.68,140
"Supersonic",2016,7.9,0.84,122
"The Edge of Democracy",2019,7.1,0.97,121
"The Polar Express",2004,6.6,0.56,100
"Under the Skin",2014,6.3,0.85,108
"Crip Camp: A Disability Revolution",2020,7.8,1,106
"Tell Me Who I Am",2019,7.6,0.95,85
"Hey Arnold! The Jungle Movie",2017,7.6,1,81
"Zack and Miri Make a Porno",2008,6.5,0.65,101
"The Score",2001,6.8,0.73,124
"Hamburger Hill",1987,6.7,1,110
"9",2009,7.1,0.57,79
"Undefeated",2011,7.7,0.96,113
"Team Foxcatcher",2016,7.3,1,90
"A Shaun the Sheep Movie: Farmageddon",2019,6.9,0.97,86
"April and the Extraordinary World",2015,7.3,0.96,105
"The Highwaymen",2019,6.9,0.57,132
"Legend",2015,6.9,0.61,132
"Boy & the World",2014,7.6,0.93,80
"Creep 2",2017,6.4,1,78
"Terminator 3: Rise of the Machines",2003,6.3,0.69,109
"Unrest",2017,7.7,1,88
"Guru",2007,7.7,0.83,166
"Louis C.K. 2017",2017,7.6,1,74
"A Twelve-Year Night",2018,7.6,0.88,122
"Happy as Lazzaro",2018,7.6,0.91,128
"What Happened, Miss Simone?",2015,7.6,0.89,101
"Blue Jay",2016,7.3,0.9,80
"1922",2017,6.3,0.9,102
"Hancock",2008,6.4,0.41,92
"Circus of Books",2019,7.1,0.98,92
"Hail, Caesar!",2016,6.3,0.85,106
"The Pixar Story",2007,7.8,0.86,88
"Child's Play",1988,6.6,0.71,90
"Springsteen On Broadway",2018,8.5,0.95,153
"The Angry Birds Movie 2",2019,6.4,0.73,97
"Obvious Child",2014,6.8,0.9,84
"Awe!",2018,7.8,1,150
"American Honey",2016,7,0.79,163
"Last Breath",2019,7.7,0.92,90
"Udta Punjab",2016,7.8,0.91,148
"Den of Thieves",2018,7,0.41,140
"Wadjda",2012,7.5,0.99,98
"The Spiderwick Chronicles",2008,6.5,0.8,96
"The Christmas Chronicles",2018,7.1,0.64,104
"Turbo",2013,6.4,0.67,96
"My Girl",1991,6.9,0.53,102
"22-Jul",2018,6.8,0.8,143
"Adam Sandler: 100% Fresh",2018,7.6,0.92,73
"Remember",2015,7.5,0.7,94
"Triple Frontier",2019,6.4,0.72,125
"Bombshell: The Hedy Lamarr Story",2018,7.4,0.96,88
"Paddleton",2019,7.2,0.89,89
"Bad Boys II",2003,6.6,0.23,147
"Sour Grapes",2016,7.3,0.96,91
"Betting on Zero",2017,7.2,1,99
"Delhi Belly",2011,7.5,0.87,103
"Being Elmo: A Puppeteer's Journey",2011,7.6,0.95,80
"Williams",2017,7.6,0.93,109
"It Comes at Night",2017,6.2,0.87,91
"Cuba and the Cameraman",2017,8.2,1,113
"Creep",2014,6.3,0.89,77
"The Interview",2014,6.5,0.52,112
"Bobby Robson: More Than a Manager",2018,8.2,1,104
"Outbreak",1995,6.6,0.59,127
"Black Snake Moan",2006,6.9,0.66,116
"Bright",2017,6.3,0.28,117
"Cargo",2017,6.3,0.85,105
"Even the Rain",2010,7.4,0.87,103
"Candyman",1992,6.6,0.74,99
"Mary and the Witch's Flower",2017,6.8,0.89,103
"Calibre",2018,6.7,0.93,101
"First They Killed My Father",2017,7.2,0.89,136
"Us and Them",2018,7.3,1,120
"Up in Smoke",1978,7,0.5,86
"Final Destination",2000,6.7,0.35,98
"Kill the Messenger",2014,6.9,0.77,112
"Operation Odessa",2018,7.8,1,95
"The American Meme",2018,7.3,1,98
"Outlaw King",2018,6.9,0.61,121
"21",2008,6.8,0.36,123
"Holding the Man",2015,7.4,0.81,127
"Krisha",2016,7.2,0.95,83
"De Palma",2016,7.4,0.94,110
"Dear Ex",2018,7.4,0.89,100
"Tomorrow Never Dies",1997,6.5,0.57,119
"Veronica",2017,6.2,0.88,94
"The Cakemaker",2017,7.2,0.98,113
"Instructions Not Included",2013,7.5,0.57,115
"Bleed for This",2016,6.8,0.69,117
"Girl",2018,7.2,0.84,105
"The Naked Gun 2½: The Smell of Fear",1991,6.9,0.57,85
"Bareilly's Barfi",2017,7.5,0.86,116
"The Sky Is Pink",2019,7.5,0.72,143
"Chitty Chitty Bang Bang",1968,6.9,0.67,144
"Jodhaa Akbar",2008,7.6,0.75,213
"Handsome Devil",2017,7.1,0.83,95
"Love, Rosie",2014,7.2,0.33,102
"Oceans",2009,7.8,0.81,104
"The Ritual",2017,6.3,0.71,94
"Super Dark Times",2017,6.6,0.89,103
"Tallulah",2016,6.7,0.84,111
"Other People",2016,6.8,0.85,97
"Alpha Dog",2006,6.9,0.54,122
"Spectral",2016,6.3,0.75,107
"The Babysitter",2017,6.3,0.71,85
"Extremely Wicked, Shockingly Evil and Vile",2019,6.6,0.55,110
"Heneral Luna",2015,7.6,0.71,118
"Click",2006,6.4,0.33,107
"The Duchess",2008,6.9,0.62,110
"The Last Man on the Moon",2016,7.4,0.94,95
"The 24 Hour War",2016,7.2,1,99
"Mune: Guardian of the Moon",2015,7.2,0.8,85
"The Devil We Know",2018,7.7,1,95
"How the Grinch Stole Christmas",2000,6.2,0.5,104
"LA Originals",2020,7.3,0.83,92
"Whisky",2004,7.1,1,99
"The Sapphires",2012,7,0.91,103
"Bloodsport",1988,6.8,0.4,92
"Tinker Bell and the Legend of the NeverBeast",2014,7.3,0.75,76
"Get Me Roger Stone",2017,7.4,0.88,92
"Alex Strangelove",2018,6.3,0.86,99
"She's Out of My League",2010,6.4,0.58,104
"Sarah's Key",2010,7.5,0.72,111
"My Happy Family",2017,7.4,1,120
"Killing Them Softly",2012,6.2,0.73,97
"Ittefaq",2017,7.2,0.89,105
"6 Underground",2019,6.1,0.36,128
"The Accountant of Auschwitz",2018,7.3,1,78
"Echo in the Canyon",2019,7,0.92,82
"Hold the Dark",2018,5.6,0.73,125
"Suffragette",2015,6.9,0.73,106
"The Siege of Jadotville",2016,7.2,0.6,108
"Terminator Salvation",2009,6.5,0.33,115
"Hotel Transylvania 3: Summer Vacation",2018,6.3,0.62,97
"Filmworker",2018,7.4,0.95,94
"Our Souls at Night",2017,6.9,0.9,103
"Mine 9",2019,6.7,0.88,83
"Everybody Knows",2018,6.9,0.78,133
"Retribution",2015,6.6,1,60
"Ice Guardians",2016,7.5,1,108
"Tinker Bell and the Pirate Fairy",2014,6.6,0.81,78
"The World Is Not Enough",1999,6.4,0.52,128
"Suite Française",2014,7,0.76,107
"Period. End of Sentence.",2018,7.4,0.83,26
"Beyond the Mat",1999,7.6,0.82,102
"Next Gen",2018,6.6,0.8,106
"Cam",2018,5.9,0.93,94
"Divines",2016,7.4,0.83,105
"Shirkers",2018,7.4,1,97
"Underworld: Evolution",2006,6.7,0.17,106
"Om Shanti Om",2007,6.7,0.76,162
"How to Change the World",2015,7.6,0.95,110
"Spitfire",2018,7.5,0.94,87
"You Are My Sunday",2016,7.7,1,119
"Dear Zindagi",2016,7.6,0.69,151
"Uncorked",2020,6.1,0.93,104
"The Water Diviner",2014,7,0.61,111
"Gaga: Five Foot Two",2017,7,0.74,100
"Austin Powers in Goldmember",2002,6.2,0.54,94
"He Never Died",2015,6.4,0.87,99
"Black Sea",2014,6.4,0.8,114
"Ali's Wedding",2017,6.9,0.92,110
"Event Horizon",1997,6.7,0.27,96
"Mississippi Grind",2015,6.4,0.91,108
"They'll Love Me When I'm Dead",2018,7.4,0.92,98
"Kai Po Che!",2013,7.6,0.76,120
"Badla",2019,7.9,0.57,118
"Young Adult",2011,6.2,0.8,94
"ZZ Top: That Little Ol' Band From Texas",2019,7.4,1,91
"Scary Movie",2000,6.2,0.53,111
"The Dirt",2019,7,0.42,107
"Killer Klowns from Outer Space",1988,6.2,0.78,88
"The Exception",2017,6.8,0.74,107
"Spenser Confidential",2020,6.2,0.38,111
"Wheelman",2017,6.4,0.88,82
"While We're Young",2014,6.3,0.84,97
"Die Another Day",2002,6.1,0.57,133
"The Grandmaster",2013,6.6,0.78,130
"Bathtubs Over Broadway",2018,7.5,1,87
"Cadillac Records",2008,7,0.67,109
"I am Divine",2013,7.6,0.96,90
"King Jack",2015,7,0.94,81
"The Runaways",2010,6.5,0.7,106
"2012",2009,5.8,0.39,158
"The Half of It",2020,7,0.95,104
"Tigertail",2020,6.4,0.8,91
"Sleeping with Other People",2015,6.5,0.64,101
"What Lies Beneath",2000,6.6,0.46,130
"Fractured",2019,6.4,0.62,99
"Master Z: Ip Man Legacy",2018,6.5,0.89,107
"Neruda",2016,6.9,0.93,107
"One Day",2011,7,0.36,107
"Just Friends",2005,6.2,0.42,96
"Aśoka",2001,6.5,1,30
"Harold and Lillian: A Hollywood Love Story",2017,8,0.97,94
"The Grinch",2018,6.3,0.59,104
"Qarib Qarib Singlle",2017,7,0.88,125
"Beasts of No Nation",2015,7.7,0.91,137
"Time Trap",2017,6.5,0.6,87
"Final Destination 2",2003,6.2,0.48,90
"Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life",2018,7.1,1,74
"Dance Academy: The Movie",2017,7,1,101
"White Fang",2018,6.9,0.88,107
"All the Bright Places",2020,6.5,0.68,107
"Elena",2013,7.6,0.85,109
"Underworld: Rise of the Lycans",2009,6.6,0.3,92
"Talaash",2012,7.2,0.8,140
"Kevin Hart: Laugh at My Pain",2011,7.4,0.71,89
"Gridiron Gang",2006,6.9,0.43,125
"Hot Rod",2007,6.7,0.39,88
"Bee Movie",2007,6.1,0.5,91
"Trash",2014,7.2,0.66,114
"The Photographer of Mauthausen",2018,6.7,0.83,110
"He's Just Not That Into You",2009,6.4,0.41,129
"Forks Over Knives",2011,7.7,0.59,96
"Bandits",2001,6.5,0.64,123
"Sanju",2018,7.8,0.5,155
"Blame!",2017,6.7,0.82,106
"Quincy",2018,7.6,0.81,60
"DragonHeart",1996,6.5,0.5,103
"Bad Day for the Cut",2017,6.5,0.92,99
"We the Animals",2018,6.9,0.93,94
"Soul Surfer",2011,7,0.45,112
"Rocko's Modern Life: Static Cling",2019,7,0.91,45
"Haywire",2011,5.8,0.8,93
"Pink",2016,8.1,1,136
"Stuart Little",1999,5.9,0.67,84
"Cutie and the Boxer",2013,7.2,0.95,82
"The World Is Yours",2018,6.4,1,102
"Berlin Syndrome",2017,6.3,0.75,116
"Furie",2019,5.8,0.95,134
"Big Miracle",2012,6.5,0.75,107
"Tramps",2016,6.5,0.95,82
"Parmanu: The Story of Pokhran",2018,7.7,0.5,129
"Kursk",2018,6.6,0.69,117
"Deep Impact",1998,6.2,0.45,120
"The Kindergarten Teacher",2018,6.7,0.89,96
"Stonehearst Asylum",2014,6.8,0.54,112
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,7.8,0.88,
"The Wandering Earth",2019,6,0.75,125
"Bon Cop Bad Cop",2006,6.8,0.78,116
"Melvin Goes to Dinner",2003,6.8,1,83
"Chappaquiddick",2018,6.5,0.81,106
"Miles Davis: Birth of the Cool",2019,7.4,0.93,115
"Mission Control: The Unsung Heroes of Apollo",2017,7.5,1,101
"Dukhtar",2014,7,0.93,93
"Red Dawn",1984,6.4,0.46,114
"Kaabil",2017,7.1,0.7,139
"The Company Men",2010,6.7,0.67,104
"Studio 54",2018,6.9,0.9,93
"The Case for Christ",2017,6.2,0.59,112
"Outside In",2018,6.6,0.95,109
"Mowgli: Legend of the Jungle",2018,6.5,0.52,104
"Errementari: The Blacksmith and the Devil",2018,6.3,0.67,98
"Jimmy Neutron: Boy Genius",2001,6,0.74,82
"World Trade Center",2006,5.9,0.67,129
"I Am Kalam",2010,8,0.8,88
"PEEPLI [Live]",2010,7.4,0.85,95
"My Scientology Movie",2016,6.7,0.89,99
"Latin History for Morons: John Leguizamo's Road to Broadway",2018,7.5,1,
"Mortal Kombat",1995,5.8,0.47,101
"Behind the Curve",2018,6.5,0.89,96
"Soni",2019,7.2,0.85,110
"Carriers",2009,6,0.68,84
"Tig",2015,7.4,0.77,95
"Patton Oswalt: Annihilation",2017,7.2,1,66
"Trixie Mattel: Moving Parts",2019,7.3,0.88,91
"Petta",2019,7.3,0.8,171
"The Bill Murray Stories: Life Lessons Learned from a Mythical Man",2018,7,0.95,70
"Can't Hardly Wait",1998,6.5,0.42,100
"The Confirmation",2016,6.4,0.91,101
"The First Wives Club",1996,6.4,0.5,103
