"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"You're Not You",2014,7.3,0.48,102
"Gideon's Army",2013,7.7,1,96
"The Rape of Europa",2007,7.7,0.82,117
"Mr. Calzaghe",2015,8,1,90
"Wait for Your Laugh",2017,8.3,0.89,85
"That Sugar Film",2014,7.5,0.68,90
"A Field in England",2013,6.3,0.86,90
"Meatballs",1979,6.2,0.72,94
"The Quiet Family",1998,7,0.8,101
"Western",2017,7,0.96,121
"Morvern Callar",2002,6.8,0.84,97
"Trouble Is My Business",2018,6,1,116
"Call Me Kuchu",2012,7.6,0.98,87
"Just Eat It: A Food Waste Story",2014,7.2,1,75
"Cockfighter",1974,7.1,1,83
"Winning: The Racing Life of Paul Newman",2015,7.6,0.9,83
"Best Kept Secret",2013,7.4,1,85
"The Vikings",1958,7.1,0.78,30
"The Soloist",2009,6.7,0.57,117
"Life with Father",1947,7.2,0.92,118
"Class of 1984",1982,6.6,0.74,98
"On the Edge",2001,7,0.67,95
"Electrick Children",2012,6.8,0.88,96
"Sleepless Night",2011,6.7,0.97,95
"East Side Sushi",2014,7.1,0.95,106
"The First Great Train Robbery",1978,6.9,0.73,110
"Conversations with Other Women",2006,7,0.74,84
"Intact",2001,6.9,0.72,108
"Apostasy",2017,6.8,0.97,95
"Oedipus Rex",1967,7.4,0.86,104
"Black Souls",2014,6.8,0.9,109
"Way Down East",1920,7.4,0.94,145
"The Violin",2005,7.7,0.94,98
"Zama",2017,6.7,0.96,115
"Death of a Superhero",2011,7.1,0.91,97
"James White",2015,7.1,0.92,85
"Images",1972,7.1,0.69,104
"99 River Street",1953,7.4,1,83
"Next",2007,6.2,0.28,96
"Grave Encounters",2011,6.1,0.64,92
"The Woman in Green",1945,6.7,1,68
"Taking Chance",2009,7.4,0.57,77
"Kansas City Confidential",1952,7.4,0.83,99
"The Street Fighter",1974,7.1,0.8,91
"Spun",2002,6.8,0.37,101
"Flight of the Butterflies",2012,6.9,1,40
"This Beautiful Fantastic",2016,6.9,0.61,100
"Henri-Georges Clouzot's Inferno",2009,7.5,1,100
"The Private Life of Henry VIII",1933,7.1,1,97
"The Forbidden Room",2015,6.1,0.96,130
"Suddenly",1954,6.8,1,77
"In the Soup",1992,7.1,0.92,93
"Orphans of the Storm",1921,7.4,0.92,150
"A Late Quartet",2012,7.1,0.76,105
"Inferno",1980,6.6,0.64,121
"Frequently Asked Questions About Time Travel",2009,7.1,0.38,83
"The Vanishing",2018,5.8,0.85,107
"Antarctica: A Year on Ice",2013,7.6,0.87,91
"The Ultimate Gift",2006,7.3,0.32,114
"What Have You Done to Solange?",1972,7,0.8,107
"Things to Come",1936,6.7,0.93,102
"Alice Sweet Alice",1976,6.5,0.82,107
"How I Ended This Summer",2010,7,0.79,130
"To End All Wars",2001,7,0.62,125
"Lila Says",2005,6.9,0.68,89
"Admiral",2015,7,0.67,151
"The Fits",2016,6.7,0.97,72
"The Chant of Jimmie Blacksmith",1978,7.3,1,122
"Keep the Lights On",2012,6.4,0.89,101
"Marjorie Prime",2017,6.3,0.9,99
"Bunty Aur Babli",2005,6.2,0.83,170
"Fear of a Black Hat",1994,7.2,0.86,88
"The Fencer",2015,7.1,0.85,99
"Keep the Change",2018,6.3,1,94
"The Shooting",1966,6.6,1,82
"Two Hands",1999,7.1,0.67,103
"The Golden Coach",1952,7,1,103
"Savior",1998,7.3,0.56,103
"Young Sherlock Holmes",1985,6.8,0.64,109
"Starry Eyes",2014,6,0.74,98
"The Southerner",1945,7.1,0.91,92
"Orchestra Rehearsal",1978,7.2,0.88,70
"Family",2019,6.3,0.75,60
"Narco Cultura",2013,7.2,0.89,103
"Harmontown",2014,7.3,0.79,
"Baby Boom",1987,6.2,0.75,110
"Oddball",2015,6.4,0.87,95
"Dr. Jekyll and Mr. Hyde",1920,7,0.92,98
"Tiger Zinda Hai",2017,6,0.73,161
"Ill Manors",2012,7.1,0.77,121
"Hollywood Shuffle",1987,7,0.88,78
"They Look Like People",2016,5.9,0.92,80
"American Grindhouse",2011,7.1,0.86,80
"The Winslow Boy",1999,7.3,0.97,117
"The Retrieval",2014,6.6,0.93,92
"The Comedy of Terrors",1964,6.7,0.89,84
"11:55",2017,4.9,1,80
"Everlasting",2016,6.6,1,85
"Cobra Verde",1987,7,0.82,111
"Cutter's Way",1981,6.9,0.91,109
"Sweet Land",2005,7.1,0.85,110
"T-Men",1948,7,1,92
"The Family I Had",2017,6.9,1,77
"Twist of Faith",2005,7.2,1,85
"Brad's Status",2017,6.5,0.8,102
"Super Inframan",1975,6.3,1,88
"Trilogy of Terror",1975,6.6,0.91,72
"102 Not Out",2018,7.4,0.67,102
"Cash Only",2015,6.1,1,91
"Detainment",2018,7.4,0.83,30
"Hichki",2018,7.5,0.55,116
"The English Surgeon",2009,8.1,0.89,94
"The Dirties",2013,6.9,0.81,83
"Unplanned",2019,5.8,0.4,109
"The Front",1976,7.3,0.73,95
"College",1927,7.1,0.89,30
"Never Grow Old",2019,5.9,0.9,100
"Seoul Station",2016,6.1,1,92
"Across 110th Street",1972,7,0.81,102
"Ice Mother",2017,6.8,1,106
"Royal Wedding",1951,6.7,0.92,93
"Almost Holy",2015,7.5,0.98,96
"The Assassin",2015,6.3,0.8,109
"Bad Samaritan",2018,6.4,0.53,110
"Stations of the Cross",2014,7.4,0.92,110
"Eden",2012,6.6,0.86,131
"Dreams with Sharp Teeth",2008,7.8,1,96
"Little Big Man",1970,7.6,0.96,139
"Jellyfish",2007,7,0.87,101
"Do You Trust this Computer?",2018,7.4,0.71,78
"The King of Masks",1995,7.7,0.89,91
"Big Eden",2000,7.3,0.65,118
"The Cat o' Nine Tails",1971,6.7,0.81,112
"Brimstone",2016,7.1,0.41,148
"LFO",2013,6.6,1,94
"Cyrano de Bergerac",1950,7.5,0.85,137
"Rabid",1977,6.3,0.73,107
"Of Human Bondage",1934,7.2,0.85,83
"Kung Fu Jungle",2014,6.5,0.75,100
"Hagazussa",2018,5.9,0.96,102
"Euthanizer",2017,6.8,0.87,85
"The Marriage Circle",1924,7.2,1,85
"The World Before Your Feet",2018,7.6,1,95
"On Any Sunday",1971,7.8,0.83,96
"In Which We Serve",1942,7.2,0.89,114
"The Children Act",2017,6.7,0.74,105
"Convoy",1978,6.4,0.43,110
"What Will People Say",2017,7.4,0.78,106
"The Exorcist III",1990,6.4,0.59,110
"Off the Rails",2016,7.1,1,
"Long Weekend",1978,6.6,0.86,97
"Return of the Hero",2018,6.5,0.8,90
"Kid Cannabis",2014,6.4,0.71,110
"Beauty Is Embarrassing",2012,7.4,0.91,88
"Blue My Mind",2018,6.1,0.77,97
"The Inspector General",1949,6.8,0.9,102
"Animal Factory",2000,6.6,0.82,94
"Shanghai Triad",1995,7.1,0.87,108
"Gloria Bell",2018,6.3,0.91,102
"The Prophecy",1995,6.5,0.43,98
"Manufactured Landscapes",2006,7.3,0.84,86
"Cairo 6,7,8",2010,7.5,0.8,100
"The Way of the Gun",2000,6.7,0.45,119
"Soapdish",1991,6.6,0.69,97
"The Third Murder",2017,6.7,0.86,124
"Big Fan",2009,6.7,0.86,88
"Night Owls",2015,6.2,1,90
"Call Me Lucky",2015,7.6,0.85,106
"The Mule",2014,6.3,0.87,116
"The Shout",1978,6.7,0.86,86
"The Dark",2018,5.6,0.87,99
"The Irish Pub",2013,7.3,1,76
"Charlie's Country",2013,7.2,0.95,108
"Autoluminescent: Rowland S. Howard",2011,7.9,1,110
"Never on Sunday",1960,7.3,0.67,91
"The Gateway",2018,5.5,0.63,90
"The Pope's Toilet",2007,7.3,0.88,90
"Hot Summer Nights",2018,6.4,0.43,107
"Robin Hood",1922,7.2,1,140
"Palo Alto",2014,6.2,0.69,100
"Ray Harryhausen: Special Effects Titan",2011,7.5,0.92,90
"The Goldfinch",2019,6.2,0.24,149
"Park Row",1952,7.2,1,83
"Kundo: Age of the Rampant",2014,6.8,0.82,137
"Book Club",2018,6.1,0.55,104
"King of the Ants",2003,6.2,1,102
"The Opposite of Sex",1998,6.3,0.8,105
"Hidden Agenda",1990,6.9,0.83,108
"The Italian",2005,7.5,0.91,90
"Photograph",2019,6.8,0.79,110
"Night Comes On",2018,6.5,1,86
"Untold Scandal",2003,6.9,0.87,32
"The Hanging Garden",1997,6.8,0.94,91
"Dreamchild",1985,6.8,1,94
"Unmistaken Child",2009,7.5,0.81,102
"22 Bullets",2010,6.7,0.46,117
"The Scarlet Pimpernel",1934,7.4,0.88,142
"The Story of Luke",2013,7.2,0.83,96
"Lost Angels: Skid Row Is My Home",2012,7.5,1,77
"Always Shine",2016,5.6,0.92,85
"Elizabethtown",2005,6.4,0.29,123
"After the Dark",2013,5.7,0.71,107
"G.B.F.",2013,5.9,0.8,92
"I Spit on Your Grave",2010,6.3,0.33,108
"American Gigolo",1980,6.2,0.68,117
"Outfoxed: Rupert Murdoch's War on Journalism",2004,7.5,0.85,75
"Upside Down: The Creation Records Story",2010,7.2,1,101
"White Zombie",1932,6.3,0.86,69
"Pork Chop Hill",1959,7.1,0.83,97
"As If I Am Not There",2010,7.2,0.85,109
"The Special Relationship",2010,6.7,0.86,93
"Woman on the Run",1950,7.3,0.83,77
"Code Black",2014,7.2,0.88,42
"The Departure",2017,7,1,70
"We Have Always Lived in the Castle",2019,5.6,0.86,90
"King Corn",2007,7,0.96,88
"People, Places, Things",2015,6.9,0.76,
"Something from Nothing: The Art of Rap",2012,7.2,0.86,106
"The Age of Stupid",2009,7,0.73,92
"Chris & Don: A Love Story",2007,7.5,0.94,90
"Angels Wear White",2017,7.2,0.94,107
"King and Country",1964,7.4,0.86,88
"Mr. Majestyk",1974,6.8,0.77,103
"Two Night Stand",2014,6.4,0.38,86
"The Four Feathers",2002,6.5,0.41,132
"The Joneses",2010,6.5,0.63,96
"Top Spin",2014,6.9,1,80
"Orange County",2002,6.2,0.46,44
"Saturday Church",2017,6.3,0.93,82
"London River",2009,6.8,0.91,84
"A Vigilante",2018,5.6,0.92,91
"Tumhari Sulu",2017,7,0.83,150
"The Hornet's Nest",2014,6.6,0.72,93
"A Quiet Passion",2016,6.4,0.92,125
"The Trotsky",2010,6.8,0.79,120
"We Live in Public",2009,7.2,0.82,
"Accidental Courtesy: Daryl Davis, Race & America",2016,7.6,0.83,96
"The House That Dripped Blood",1971,6.6,0.85,102
"King Lear",2018,6.1,0.91,115
"The Big Kahuna",2000,6.6,0.73,90
"Bolivia",2001,7.3,1,75
"The Story of Louis Pasteur",1936,7.3,1,86
"Dressed to Kill",1946,6.9,0.8,104
"Master of the Universe",2013,7.2,1,88
"On Chesil Beach",2018,6.3,0.67,110
"McKellen: Playing the Part",2018,7.3,1,92
"Beauty Mark",2017,6.5,1,87
"Airplane II: The Sequel",1982,6.2,0.42,85
"Nuts!",2016,7.1,0.94,79
"White Lightning",1973,6.4,0.86,101
"The Chosen",1981,7.1,0.75,
"North Dallas Forty",1979,6.9,0.83,119
"Hawks and Sparrows",1966,7.3,0.82,89
"A Bucket of Blood",1959,6.7,0.77,66
"Funeral in Berlin",1966,6.9,0.67,102
"Mid-August Lunch",2008,7,0.88,75
"Crush the Skull",2015,5.7,1,80
"Puncture",2011,6.8,0.52,100
"The Light of the Moon",2017,6.2,0.97,90
"Destination Wedding",2018,6,0.53,87
"The Blood Is at the Doorstep",2017,6.5,1,90
"Comic-Con Episode IV: A Fan's Hope",2011,7,0.82,88
"Three Came Home",1950,7.3,1,106
"Shade",2003,6.3,0.67,101
"Big Sonia",2017,7.5,0.94,93
"Wonderstruck",2017,6.2,0.68,116
"Saint Ralph",2005,7.3,0.64,98
"Bad Hair",2013,6.9,0.95,115
"Society",1989,6.5,0.55,99
"A Farewell to Arms",1932,6.5,0.93,80
"Stigmata",1999,6.2,0.22,103
"Tomorrow, When the War Began",2010,6.2,0.64,103
"The Iron Mask",1929,7.1,1,120
"The Poughkeepsie Tapes",2007,6.1,0.6,81
"Home for the Holidays",1995,6.6,0.63,103
"The Wild and Wonderful Whites of West Virginia",2009,7.1,0.6,86
"Christmas, Again",2014,6.6,1,80
"He Walked by Night",1949,7.2,0.86,79
"Every Little Step",2008,7.5,0.92,96
"Prodigy",2017,6,0.73,80
"Bellflower",2011,6.4,0.73,106
"Crips and Bloods: Made in America",2008,6.9,0.76,93
"StreetDance 3D",2010,5.9,0.76,98
"David and Lisa",1962,7.2,0.83,95
"Shifty",2009,6.5,0.96,85
"Life Itself",2018,6.8,0.14,117
"The Court-Martial of Billy Mitchell",1955,6.9,1,100
"Fuse",2003,7.3,0.8,105
"Is Paris Burning?",1966,6.9,0.71,175
"The Dog",2013,6.5,0.91,114
"Afghan Star",2009,7.3,1,87
"Don't Come Back from the Moon",2019,5.6,0.88,82
"Pantani: The Accidental Death of a Cyclist",2014,7,0.84,96
"The River",1997,7.3,0.73,44
"Kill Command",2016,5.7,0.75,99
"Father's Little Dividend",1951,6.6,1,82
"워터댄스",1992,6.7,0.93,
"Low Tide",2019,6.2,0.71,86
"Biggie and Tupac",2002,6.8,0.79,108
"On Her Shoulders",2018,7.1,0.96,95
"Most Beautiful Island",2017,5.7,0.93,80
"The Watermelon Woman",1996,6.7,1,90
"The Son of Bigfoot",2017,6.1,0.76,92
"The Grand Seduction",2013,7,0.59,113
"Black Pond",2011,5.9,1,83
"A Man Called Horse",1970,6.9,0.86,114
"Night Tide",1963,6.4,1,86
"Choose Me",1984,6.8,0.93,106
"Nina Forever",2015,5.6,0.97,98
"Aida's Secrets",2016,6.7,1,90
"The Grocer's Son",2007,7,0.9,96
"Party Girl",1995,6.6,0.78,94
"Hawking",2013,7.3,0.85,90
"Rules of Engagement",2000,6.4,0.36,22
"The Matchmaker",2010,7.3,0.88,97
"Paul Williams Still Alive",2011,6.9,0.97,87
"Birth of the Living Dead",2013,7,0.96,76
"Elvis & Nixon",2016,6.4,0.77,86
"Daughters of Darkness",1971,6.6,0.73,87
"Archipelago",2011,6.3,0.95,114
"Louder Than Bombs",2015,6.6,0.72,109
"Pray the Devil Back to Hell",2008,7.7,1,72
"Beat the Devil",1953,6.5,0.75,89
"Rob the Mob",2014,6.3,0.83,104
"No Stone Unturned",2017,7.2,0.8,111
"Possum",2018,5.6,0.9,85
"47 Meters Down: Uncaged",2019,5,0.42,90
"Soaked in Bleach",2015,7.4,0.3,90
"Bachna Ae Haseeno",2008,6.2,0.63,152
"The Uninvited",2009,6.3,0.31,87
"Return to Homs",2013,7.7,0.93,94
"Short Eyes",1977,7.1,0.89,100
"Rift",2017,5.8,0.93,111
"Twins of Evil",1971,6.6,0.79,87
"Welcome to Me",2014,5.9,0.74,87
"Contract Killer",1998,6.2,0.8,98
"Love Affair",1939,7.3,0.86,100
"The Collector",2009,6.4,0.29,90
"True Legend",2010,6.4,0.64,115
"The Round Up",2010,7.1,0.56,115
"Honey",2013,6.7,1,94
"The Young Karl Marx",2017,6.6,0.6,118
"Punching the Clown",2010,7.2,0.87,91
"Toast",2010,6.6,0.62,96
"Yours, Mine and Ours",1968,7.2,0.5,88
"Jawaani Jaaneman",2020,6.7,0.64,119
"M.O.M. Mothers of Monsters",2020,5.3,0.73,98
"Believer",2018,7,0.64,123
"In Syria",2017,7,0.89,85
"Never Forever",2007,6.5,0.8,104
"Blood Tea and Red String",2006,7.1,0.91,71
"Mischief Night",2013,4.6,1,87
"A Kiss Before Dying",1956,6.7,1,94
"The Bullet Vanishes",2012,6.6,0.92,108
"Hitler's Children",2011,7.4,0.81,82
"Alleluia",2014,6.2,0.83,93
"The Wipers Times",2013,7,0.88,92
"My Kid Could Paint That",2007,7.1,0.94,82
"Lumumba",2000,7.2,0.81,115
"Antrum",2018,4.7,0.78,95
"The Snows of Kilimanjaro",1952,6.2,1,114
"The Evil Within",2017,5.5,1,98
"Vampire's Kiss",1988,6,0.61,103
"Dark Money",2018,7,0.96,220
"Arranged",2007,7.3,0.64,90
"The Guardians",2017,6.7,0.95,89
"Girl Model",2011,6.5,0.91,78
"The Sadist",1963,6.7,1,92
"16 Acres",2012,6.6,1,95
"Foxy Brown",1974,6.5,0.6,92
"In the Aisles",2018,6.9,0.89,125
"Cleanskin",2012,6.3,0.53,108
"The American Nightmare",2000,7.3,0.67,73
"The Boy",2016,6,0.3,97
"Crown Heights",2017,6.5,0.77,94
"The Russian Woodpecker",2015,6.8,0.96,80
"Are We Not Cats",2018,5.8,0.91,77
"The Private Lives of Pippa Lee",2009,6.4,0.69,98
"Eames: The Architect and the Painter",2011,7.2,0.88,85
"The Alamo",1960,6.9,0.52,162
"Natasha",2015,6.3,1,138
"Cinema, Aspirins and Vultures",2005,7.4,0.86,99
"Patterns",1956,7.7,0.8,83
"Evelyn",2002,7,0.64,94
"The Island President",2012,7.2,0.98,101
"Geography Club",2013,6.5,0.64,84
"Never Goin' Back",2018,6,0.76,85
"Clear History",2013,6.5,0.61,101
"In the Mirror of Maya Deren",2002,7.4,0.95,103
"Skin",2009,6.9,0.84,118
"Fritz the Cat",1972,6.3,0.58,78
"The Secret of Santa Vittoria",1969,7.3,0.67,139
"They Call Us Monsters",2016,7.1,0.82,82
"Undocumented Executive",2013,6.9,1,95
"Nightbreed",1990,6.6,0.38,102
"The House of Magic",2013,6.3,0.73,85
"The Words",2012,7,0.25,102
"Party Monster",2003,6.3,0.29,98
"The President",2014,7.4,0.84,119
"Teacher of the Year",2015,5.4,1,82
"The Brothers Grimm",2005,5.9,0.38,118
"Free Enterprise",1998,6.8,0.83,113
"Topper Returns",1941,6.9,0.89,88
"The Kill Team",2013,7,0.9,87
"Sonu Ke Titu Ki Sweety",2018,7.1,0.4,138
"The Three Musketeers",1921,7,1,110
"The Stuff",1985,5.9,0.69,87
"Landline",2017,6.4,0.75,97
"Racing Dreams",2010,7,1,93
"The President's Last Bang",2005,6.9,0.82,102
"Chi-Raq",2015,5.7,0.82,127
"Escobar: Paradise Lost",2014,6.5,0.55,120
"Shoot to Kill",1988,6.8,1,110
"Gabrielle",2013,7,0.88,104
"Shun Li and the Poet",2011,7.2,0.95,98
"Pali Road",2016,7.2,0.55,92
"Into the Blue",2005,5.9,0.21,110
"The Little Girl Who Was Too Fond of Matches",2017,7,0.86,112
"Crimes of the Heart",1986,6.4,0.81,105
"The Descent: Part 2",2009,5.8,0.57,94
"Svengali",1931,6.8,0.83,93
"Scott Walker: 30 Century Man",2007,7.2,0.87,95
"Happy Hunting",2017,5.1,1,91
"Punk's Not Dead",2007,7.1,0.9,93
"Approaching the Elephant",2015,7,1,89
"Graduation",2018,7.4,0.96,128
"The People vs. George Lucas",2010,6.6,0.72,93
"A River Below",2017,7.2,1,86
"The Midwife",2017,6.7,0.89,117
"Funny Ha Ha",2002,6.5,0.88,85
"Me Without You",2001,6.9,0.66,107
"The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble",2016,7.7,0.84,96
"Tales of Halloween",2015,5.5,0.79,92
"Street Scene",1931,7.6,1,80
"Tatsumi",2011,7.1,0.94,96
"Deranged",2012,6.4,0.6,84
"The Man Who Saved the World",2014,7.6,0.68,91
"Voyager",1991,6.7,0.56,44
"The Kennel Murder Case",1933,7,0.83,73
"Dark River",2018,5.8,0.79,90
"Ex Libris: New York Public Library",2017,7.4,0.97,197
"Battle in Seattle",2007,6.7,0.56,99
"Dark Blue",2002,6.6,0.59,118
"The Bellboy",1960,6.5,0.7,72
"Happythankyoumoreplease",2011,6.8,0.42,100
"Bottle Shock",2008,6.8,0.48,110
"Genevieve",1953,7.1,0.8,86
"River of Grass",1995,6.6,0.94,76
"The Bridesmaid",2004,6.6,0.93,111
"Pass Over",2018,5.6,0.92,74
"Bad Lucky Goat",2017,6.8,1,76
"Pussy Riot: A Punk Prayer",2013,7,0.83,88
"Listen Up Philip",2014,6.3,0.82,108
"Big Nothing",2006,6.8,0.46,86
"Mayor of the Sunset Strip",2003,7,0.87,94
"Conquest 1453",2012,6.7,0.4,162
"Road to Bali",1953,6.5,0.71,91
"Pulp: a Film About Life, Death & Supermarkets",2014,7.2,0.85,90
"My Favorite Season",1993,7.1,0.92,127
"Number 37",2018,6.3,1,100
"Japanese Story",2003,6.7,0.68,110
"Tortilla Soup",2001,6.7,0.74,102
"Friday the 13th Part 2",1981,6.1,0.28,87
"The Reef",2010,5.8,0.79,94
"Some Freaks",2016,6.2,0.92,97
"Wreckers",2011,6,0.92,85
"Look Both Ways",2005,7,0.75,100
"William S. Burroughs: A Man Within",2010,7.2,0.88,87
"Knightriders",1981,6.3,0.77,146
"Sheikh Jackson",2017,7,0.75,93
"What Richard Did",2012,6.3,0.91,88
"Inside the Rain",2020,4.1,0.88,90
"Birds Without Names",2017,6.6,1,123
"All About Them",2015,6.3,1,86
"Men at Work",2006,6.5,1,30
"Terror by Night",1946,6.9,0.75,60
"My Way",2012,6.9,0.83,137
"Crossing Arizona",2006,8,1,77
"Back to Burgundy",2017,6.9,0.72,113
"The Perfect Game",2010,6.9,0.57,118
"Lovely, Still",2008,7.1,0.73,92
"Ta Ra Rum Pum",2007,5.6,0.5,153
"Braid",2019,5.3,0.87,82
"Buzzard",2015,6.4,0.87,97
"A Dark Place",2019,6.2,0.52,89
"Finding Mr. Right",2013,6.4,0.86,121
"The Whole Gritty City",2013,7.8,1,89
"Estranged",2015,5.4,1,101
"Woman Walks Ahead",2018,6.6,0.53,101
"The Horse Boy",2009,7.3,0.75,93
"Twice Born",2012,7.4,0.17,127
"Empathy, Inc.",2018,4.9,0.85,97
"In the Name of...",2013,6.6,0.77,
"Angel and the Badman",1947,6.9,0.71,100
"Bright Days Ahead",2013,6.3,0.87,94
"Her Composition",2015,5.3,1,93
"Wal-Mart: The High Cost of Low Price",2005,6.8,0.93,98
"The Possession",2012,5.9,0.4,92
"The Country Teacher",2008,6.9,0.81,117
"The Flying Deuces",1939,6.9,0.83,69
"The Divine Order",2017,7,0.83,96
"Africa: The Serengeti",1994,7.3,1,39
"Mia madre",2015,6.8,0.84,106
"Vampire Circus",1972,6.4,0.8,87
"Examined Life",2008,7,0.77,87
"Shadow Company",2006,7.7,0.86,86
"The Day of the Triffids",1962,6.2,0.76,93
"Absurdistan",2008,6.8,0.83,84
"The Moustache",2005,6.7,0.86,87
"Entre Nos",2009,7.3,0.83,90
"Cecil B. Demented",2000,6.3,0.53,87
"The Red House",1947,6.8,0.8,100
"Tideland",2005,6.5,0.31,120
"Lost in Paris",2017,6.2,0.86,83
"Species",1995,5.8,0.43,108
"Manifesto",2015,6.6,0.76,60
"City of the Living Dead",1980,6.3,0.5,93
"Halston",2019,6.6,0.76,
"Home Again",2017,5.8,0.32,97
"The Samurai",2014,5.7,1,105
"The Good Postman",2016,7.3,1,80
"I Am Another You",2017,7.2,0.94,80
"The Double Hour",2009,6.7,0.82,95
"Pandemic",2016,4.4,0.44,91
"Nobody's Watching",2017,6.6,0.89,102
"My Name Is Emily",2016,6.6,0.89,94
"Cherry",2010,6.7,0.64,
"Rampart",2011,5.8,0.74,47
"Ping Pong",2012,7.3,0.95,114
"Once I Was a Beehive",2015,6.2,0.75,119
"Sister Helen",2002,7.8,0.92,90
"War Don Don",2010,7.2,1,83
"Romero",1989,7.1,0.78,102
"Top Knot Detective",2017,6.3,1,87
"Girl Asleep",2015,6.2,0.81,77
"The Ninth Day",2004,7.1,0.78,98
"Five Fingers for Marseilles",2018,6.1,0.76,120
"Shottas",2002,6.2,0.19,95
"Holy Air",2017,6.5,1,81
"Saint Jack",1979,7,0.67,112
"The Golden Child",1986,6,0.26,94
"Hal",2019,6.9,0.9,60
"Last Call at the Oasis",2011,7.4,0.81,105
"Stella Maris",1918,6.7,0.86,84
"Edge Codes.com: The Art of Motion Picture Editing",2004,6.8,1,75
"Django",2017,6.3,0.61,165
"Nancy",2018,6.2,0.86,85
"Love Liza",2002,7,0.53,90
"Kaante",2002,6.6,0.83,150
"The Unloved",2009,6.8,0.94,106
"The Blood Spattered Bride",1972,6.2,1,100
"After the Fox",1966,6.5,0.75,103
"The Suicide Theory",2015,6.5,0.79,98
"Lady Jane",1986,7.1,0.5,136
"Thirst",1979,5.8,1,134
"Skeletons",2010,6.8,0.82,94
"Joe",1970,6.8,0.8,117
"Pin Cushion",2018,6.5,0.9,82
"Black Sunday",1977,6.8,0.69,87
"Upside Down",2012,6.4,0.28,109
"Doomed! The Untold Story of Roger Corman's The Fantastic Four",2015,6.9,0.86,85
"Diverge",2016,4.5,1,85
"Baarìa",2009,6.9,0.55,163
"Poor Boy's Game",2007,6.4,0.83,104
"That Guy Dick Miller",2014,7.4,0.8,91
"Till the Clouds Roll By",1946,6.4,1,132
"Hyena Road",2015,6.5,0.55,120
"Sukiyaki Western Django",2007,6.2,0.56,121
"The Forest for the Trees",2004,7.2,0.77,162
"Under the Bombs",2007,7,0.8,98
"Hired Gun",2017,7.1,0.5,98
"Mary Goes Round",2018,6.8,0.89,84
"Food Chains",2014,7.2,0.91,83
"Planet of the Vampires",1965,6.3,0.73,88
"One Week and a Day",2016,6.7,0.9,98
"This Is Where We Live",2013,7.7,0.88,92
"The Mechanic",1972,6.9,0.33,93
"The Front Page",1931,6.7,0.92,101
"Salute",2008,7.6,1,84
"Wolf Creek 2",2013,6.1,0.49,106
"Computer Chess",2013,6.3,0.88,92
"Transpecos",2016,5.8,0.91,86
"Winter Brothers",2017,6.5,0.91,94
"Dalida",2016,6.9,0.4,127
"Catch Me Daddy",2015,6.3,0.92,112
"Bharat Ane Nenu",2018,7.7,1,173
"Adore",2013,6.2,0.34,112
"A Syrian Love Story",2015,7,0.92,76
"Nicholas and Alexandra",1971,7.2,0.67,183
"LBJ",2017,6.5,0.57,98
"Freestyle: The Art of Rhyme",2000,7.6,0.89,60
"Dolemite",1975,5.8,0.64,118
"Crime After Crime",2011,7.6,0.91,
"Embers",2015,5.4,0.86,204
"People's Republic of Desire",2018,6.8,0.97,95
"Witnesses",2003,6.8,0.9,52
"The Sisterhood of Night",2015,6.2,0.8,104
"Not Suitable For Children",2012,5.8,0.88,97
"Father's Day",2011,6,0.8,120
"Sex & Drugs & Rock & Roll",2010,6.6,0.73,21
"Storm",2009,6.9,0.82,140
"Tiger Orange",2014,6.6,1,75
"Duckweed",2017,6.4,0.83,102
"Gabriel",2014,6.4,0.84,114
"The Dentist",1932,6.8,1,92
"Head Games",2012,7.3,0.88,80
"Churchill",2017,6.2,0.49,105
"Garbo: The Spy",2009,7.2,0.86,88
"Ju Dou",1990,7.7,1,95
"Newton",2017,7.7,0.91,106
"The Foot Fist Way",2006,6.3,0.54,85
"The Dark Valley",2014,7.1,0.4,115
"Our Time Will Come",2017,6.4,0.94,130
"Shock Wave",2017,6.3,0.75,119
"Final Score",2018,5.7,0.7,104
"Pet",2016,5.7,0.56,94
"Pathology",2008,6,0.45,95
"Shooting Fish",1997,6.6,0.57,109
"Parkland",2013,6.3,0.5,93
"Trash Dance",2012,7.5,1,68
"A Man of No Importance",1994,6.7,0.86,99
"Hideous Kinky",1998,6,0.65,98
"The Levelling",2017,6.4,0.94,83
"Don't Kill It",2016,5.2,0.92,83
"Some Guy Who Kills People",2011,6.4,0.8,97
"Good Dick",2008,6.4,0.5,86
"A Monster with a Thousand Heads",2016,6.5,0.9,74
"Murder!",1930,6.4,0.88,104
"The Keeping Room",2014,6,0.75,95
"Pop Aye",2017,6.6,0.91,104
"Bedrooms and Hallways",1998,6.6,0.69,92
"Hale County This Morning, This Evening",2018,6.3,0.97,76
"Obey",2018,5.4,1,96
"100 Bloody Acres",2012,6,0.79,91
"B.B. King: The Life of Riley",2012,7.4,0.86,123
"Chasing the Dragon",2017,6.8,0.5,128
"Francofonia",2015,6.6,0.87,88
"Madeline's Madeline",2018,6.4,0.88,93
"Zarafa",2012,7,0.75,78
"Goya's Ghosts",2006,6.9,0.3,113
"Yu-Gi-Oh!: The Dark Side of Dimensions",2016,7,0.4,130
